codigo,articulo,uxb,precio caja,precio unitario,cantidad_normalizada,unidad_estandar,precio_estandar
2646,ACUERDO 3 CLASICO,1,206475.991,206475.991,,,
2647,ACUERDO 4 VARIETAL,1,206475.991,206475.991,,,
2648,ACUERDO 5 VARIETAL,1,206475.991,206475.991,,,
2649,ACUERDO 6 VARIETAL,1,206475.991,206475.991,,,
2650,ACUERDO 7 CLASICO,1,206475.991,206475.991,,,
2652,CHANDON EXTRA BRUT C/ESTUCHE 750ML,6,102542.164,17090.361,0.75,LT,22787.148
2653,BALLANTINES FINEST LENNON 700ML,6,175464.946,29244.158,0.7,LT,41777.368571428575
2654,FERNET CHOLA 1LTS,6,140561.326,23426.888,,,
2657,BALLANTINES FINEST ELTON JOHN 700ML,6,175464.946,29244.158,0.7,LT,41777.368571428575
2660,INTI HEBRAS BE RELAX X10 UNI,6,25962.359,4327.06,,,
2673,LUIGI BOSCA INSIGNIA MALBEC 750ML,6,80028.001,13338.0,0.75,LT,17784.0
2680,JOHNNIE WALKER BLONDE 750ML,12,453600.081,37800.007,0.75,LT,50400.00933333333
2682,ALWA NACHOS CON CHIA 80GR,18,19300.242,1072.236,0.08,KG,13402.95
2684,LUIGI BOSCA PARAISO 750ML (M),4,454950.001,113737.5,0.75,LT,151650.0
2685,LUIGI BOSCA DE SANGRE CORTE 750ML,6,95256.001,15876.0,0.75,LT,21168.0
2688,VOLCAN DE MI TIERRA BLANCO 700ML,6,496245.467,82707.578,0.7,LT,118153.68285714286
2689,VOLCAN DE MI TIERRA REPOSADO 700ML,6,571217.798,95202.966,0.7,LT,136004.23714285716
2690,AJENJO VERMUT DRY 750ML,6,34612.428,5768.738,0.75,LT,7691.650666666667
2691,TRANE LONDON DRY GIN 750ML,6,32880.017,5480.003,0.75,LT,7306.670666666666
2700,IMPERIAL GOLDEN 0% LATA 355ML,24,36253.976,1510.582,0.355,LT,4255.160563380282
2701,IMPERIAL GOLDEN PORRON 330ML,24,46770.268,1948.761,0.33,LT,5905.336363636363
2702,GLENFIDDICH 15YO 750ML,12,2682665.934,223555.494,0.75,LT,298073.992
2710,JACK DANIELS FIRE 700ML,6,223135.674,37189.279,0.7,LT,53127.541428571436
2711,JACK DANIELS SINGLE BARREL SELECT TW 700ML,6,467522.375,77920.396,0.7,LT,111314.85142857142
2712,BULLEIT 700ML,12,636533.841,53044.487,0.7,LT,75777.83857142858
2713,ALMA NEGRA ORANGE 750ML,6,210598.988,35099.831,0.75,LT,46799.774666666664
2714,INTI HEBRAS BE SWEET X10 UNI,6,25962.359,4327.06,,,
2719,SALENTEIN NUMINA CAB. SAUVIGNON 750ML,6,74641.5,12440.25,0.75,LT,16587.0
2720,SALENTEIN NUMINA PINOT NOIR 750ML,6,82498.499,13749.75,0.75,LT,18333.0
2723,OLIOVITA GOURMET LATA 500ML,24,387992.407,16166.35,0.5,LT,32332.7
2724,FABRE MONTMAYOU TERRUÑO CHARDONNAY 750ML,6,70901.59,11816.932,0.75,LT,15755.909333333335
2725,LA MASCOTA ROSE 750ML,6,72691.347,12115.224,0.75,LT,16153.632
2726,SALENTEIN BARREL SELECTION MAL-CAB 750ML,6,39677.851,6612.975,0.75,LT,8817.300000000001
2728,FABRE MONTMAYOU TERRUÑO CAB. FRANC 750ML,6,70901.59,11816.932,0.75,LT,15755.909333333335
2729,PATRON REPOSADO 750ML,12,1809636.726,150803.06,0.75,LT,201070.74666666667
2730,PATRON SILVER 750ML,12,1672543.035,139378.586,0.75,LT,185838.1146666667
2731,THE DEACON 700ML,6,487878.729,81313.121,0.7,LT,116161.60142857143
2732,TX BOURBON 700ML,6,302731.284,50455.214,0.7,LT,72078.87714285715
2741,SPEED UNLIMITED ZERO XL 473ML,12,25951.752,2162.646,0.473,LT,4572.190274841439
2742,TRUMPETER MALBEC 1.5 LTS,4,53865.0,13466.25,,,
2743,LA MASCOTA CAB.FRANC 750ML,6,72691.347,12115.224,0.75,LT,16153.632
2744,HEINEKEN 0% 473ML,24,63857.227,2660.718,0.473,LT,5625.1966173361525
2745,NUVO L'ESPRIT 700ML,12,873599.188,72799.932,0.7,LT,103999.90285714286
2747,JACK DANIELS SINATRA SELECT 1LTS,6,1397317.195,232886.199,,,
2748,MONTELOBOS ESPADIN 750ML,6,631564.857,105260.809,0.75,LT,140347.74533333333
2749,MEZCAL DF 750ML,6,617311.947,102885.325,0.75,LT,137180.43333333332
2751,DAMONJAG 1LTS,6,149238.641,24873.107,,,
2758,ETCHART COSECHA 92 750ML,3,150799.166,50266.389,0.75,LT,67021.852
2759,CHELO LIMONCELLO 750ML,6,99970.2,16661.7,0.75,LT,22215.600000000002
2760,CHELO MARACUYA 750ML,6,99970.2,16661.7,0.75,LT,22215.600000000002
2761,LUCA CHARDONNAY 750ML,6,143572.497,23928.749,0.75,LT,31904.998666666666
2762,LUCA PINOT NOIR 750ML,6,150862.498,25143.75,0.75,LT,33525.0
2763,LUCA MALBEC 750ML,6,177389.998,29565.0,0.75,LT,39420.0
2764,ARYTZA SALSA CAESAR (BALDE) 2.9KG,1,28343.251,28343.251,2.9,KG,9773.534827586207
2765,CABRALES NES VITA X10 UNI,12,103179.685,8598.307,,,
2766,SALENTEIN BARREL SELECTION MAL-PET 750ML,6,39677.851,6612.975,0.75,LT,8817.300000000001
2769,INTI HEBRAS BUENA VIBRA CHAI 80GR,4,39883.891,9970.973,0.08,KG,124637.16249999999
2770,INTI HEBRAS FEELING HAPPY 80GR,4,39883.891,9970.973,0.08,KG,124637.16249999999
2771,INTI HEBRAS MATCHA DETOX 80GR,4,39883.891,9970.973,0.08,KG,124637.16249999999
2772,INTI HEBRAS ORANGE GREEN LOVE 80GR,4,39883.891,9970.973,0.08,KG,124637.16249999999
2773,INTI HEBRAS BE ORANGE 80GR,4,39883.891,9970.973,0.08,KG,124637.16249999999
2774,INTI HEBRAS BE BERRIES 80GR,4,39883.891,9970.973,0.08,KG,124637.16249999999
2775,INTI HEBRAS BE RELAX 80GR,4,39883.891,9970.973,0.08,KG,124637.16249999999
2776,INTI HEBRAS ENGLISH BREAKFAST 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2777,INTI HEBRAS BLUE EARL GREY 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
2778,INTI HEBRAS BUENA VIBRA CHAI 300GR,3,77896.781,25965.594,0.3,KG,86551.98000000001
